Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Fernández-Blanco, David; Bertotti, Giovanni; Ciner, T Attila; ","Cenozoic tectonics of the Tuz Gölü Basin (Central Anatolian Plateau, Turkey)",Turkish Journal of Earth Sciences,22,5,715-738,2013,Scientific Technical Research Council Turkey
"Özsayin, Erman; Ciner, T Attila; Rojay, F Bora; Dirik, R Kadir; Melnick, Daniel; Fernández-Blanco, David; Bertotti, Giovanni; Schildgen, Taylor F; Garcin, Yannick; Strecker, Manfred R; ","Plio-Quaternary extensional tectonics of the Central Anatolian Plateau: a case study from the Tuz Golu Basin, Turkey",Turkish Journal of Earth Sciences,22,5,691-714,2013,Scientific Technical Research Council Turkey
"Fernández-Blanco, David; ",Evolution of Orogenic Plateaus at Subduction Zones: Sinking and raising the southern margin of the Central Anatolian Plateau,,,,,2014,Vrije Universiteit Amsterdam
"Fernández-Blanco, D; Philippon, M; von Hagke, C; ",Present-day stress orientations in the Great Sumatran Fault in North Sumatra,Geotectonic Research,97,1,30-33,2015,Schweizerbart'sche Verlagsbuchhandlung
"Gelder, De; Fernández-Blanco, D; Lacassin, R; Armijo, R; Delorme, A; Jara-Muñoz, J; Melnick, D; ",Corinth terraces re-visited: Improved paleoshoreline determination using Pleiades-DEMs,Geotectonic Research,97,1,12-14,2015,Schweizerbart'sche Verlagsbuchhandlung
"Fernández-Blanco, David; Philippon, Melody; von Hagke, Christoph; ",Structure and kinematics of the Sumatran Fault System in North Sumatra (Indonesia),Tectonophysics,693,,453-464,2016,Elsevier
"Pedoja, K; Jara-Muñoz, J; De Gelder, G; Robertson, J; Meschis, M; Fernández-Blanco, D; Nexer, M; Poprawski, Y; Dugué, O; Delcaillau, B; ","Neogene-Quaternary slow coastal uplift of Western Europe through the perspective of sequences of strandlines from the Cotentin Peninsula (Normandy, France)",Geomorphology,303,,338-356,2018,Elsevier
"Fernández-Blanco, David; Bertotti, Giovanni; Aksu, Ali; Hall, Jeremy; ","Monoclinal flexure of an orogenic plateau margin during subduction, south Turkey",Basin Research,,,doi: 10.1111/bre.12341,2019,Wiley
"De Gelder, Gino; Fernández-Blanco, David; Melnick, Daniel; Duclaux, Guillaume; Bell, R; Jara-Muñoz, Julius; Armijo, R; Lacassin, R; ",Lithospheric flexure and rheology determined by climate cycle markers in the Corinth Rift,Scientific Reports,9,1,4260,2019,Nature Publishing Group
"Fernández-Blanco, David; de Gelder, Gino; Lacassin, Robin; Armijo, Rolando; ",A new crustal fault formed the modern Corinth Rift,Earth-Science Reviews,,,102919,2019,Elsevier
"Fernández-Blanco, David; de Gelder, Gino; Lacassin, Robin; Armijo, Rolando; ","Geometry of flexural uplift by continental rifting in Corinth, Greece",Tectonics,,-,10.1029/2019TC005685,2019,
"Narock, Tom; Goldstein, Evan B; Jackson, Christopher A-L; Bubeck, Alodie A; Enright, Allison ML; Farquharson, Jamie I; Fernández, Alfonso; Fernández-Blanco, David; Girardclos, Stéphanie; Ibarra, Daniel E; ",Earth science is ready for preprints,"Eos, Transactions American Geophysical Union",100,,,2019,
"de Gelder, Gino; Jara-Muñoz, Julius; Melnick, Daniel; Fernández-Blanco, David; Rouby, Hélène; Pedoja, Kevin; Husson, Laurent; Armijo, Rolando; Lacassin, Robin; ",How do sea-level curves influence modeled marine terrace sequences?,Quaternary Science Reviews,229,,106132,2020,Elsevier
"Fernández-Blanco, David; Gouiza, Mohamed; Charton, Remi; Kluge, Christian; Klaver, Jop; Brautigam, Kirsten; Bertotti, Giovanni; ",Anticline growth by shortening during crustal exhumation of the Moroccan Atlantic margin,Journal of Structural Geology,140,,104125,2020,Pergamon
"Fernández-Blanco, David; Mannu, Utsav; Bertotti, Giovanni; Willett, Sean D; ",Forearc high uplift by lower crustal flow during growth of the Cyprus-Anatolian margin,Earth and Planetary Science Letters,544,,116314,2020,Elsevier
"Fernández‐Blanco, David; Mannu, Utsav; Cassola, Teodoro; Bertotti, Giovanni; Willett, Sean D; ",Sedimentation and viscosity controls on forearc high growth,Basin Research,33,2,1384 - 1406,2021,Wiley Online Library
"Fuji, Nobuaki; Jang, Hyoihn; Nakao, Atsushi; Kim, YoungHee; Fernández-Blanco, David; Lee, Sang-Mook; Schroeder, Alexia; Konishi, Kensuke; ",A Possible Roll-over Slab Geometry under the Caroline Plate Imaged by Monte Carlo Finite-Frequency Traveltime Inversion of Teleseismic SS Phases,Frontiers in Earth Science,9,,29,2021,
"Gallen, SF; Fernández‐Blanco, D; ",A New Data‐driven Bayesian Inversion of Fluvial Topography Clarifies the Tectonic History of the Corinth Rift and Reveals a Channel Steepness Threshold,Journal of Geophysical Research: Earth Surface,,,e2020JF005651,2021,"John Wiley & Sons, Ltd"
